date_key,product_key,location_key,daily_unit_sales,daily_unit_sales_kg,daily_unit_returns_kg,stock_available,stock_out_flag,delivery_time_hours,points_of_distribution,previous_year_sales,previous_year_returns,previous_year_pod,price_per_unit,revenue
20220413,1,1,1009,499.66,43,2568,0,8,91,1089,44,190,25,25225
20221215,2,2,1124,604.29,73,1371,0,4,59,983,76,70,30,33720
20220928,3,3,1807,804.83,43,1655,1,8,136,1807,46,126,60,108420
20220417,4,4,1723,713.76,52,2468,0,11,107,1665,49,188,70,120610
20220313,1,5,935,406.56,16,2084,0,9,145,1028,17,87,25,23375
20220708,2,6,1491,795.4,17,1762,0,9,117,1514,19,171,30,44730
20220121,1,7,618,261.29,19,1580,0,10,193,687,28,60,25,15450
20220413,5,8,1021,484.4,26,2650,0,5,163,1100,17,81,100,102100
20220502,6,9,1958,1127.52,30,1579,1,5,198,1918,20,175,300,587400
20220803,1,10,801,441.06,16,2168,1,8,62,692,25,78,25,20025
20221127,5,11,712,306.26,59,1867,0,6,146,629,67,167,100,71200
20220329,5,12,518,286.05,38,1934,0,5,193,547,48,157,100,51800
20220410,7,1,1784,786.4,74,2228,0,10,115,1716,69,62,20,35680
20221226,1,13,1916,770.63,67,2456,1,4,69,1942,62,119,25,47900
20220601,5,14,1734,944.01,67,1813,0,8,103,1603,71,198,100,173400
20220511,1,15,701,334.75,55,1325,0,8,129,616,43,181,25,17525
20220530,6,16,1265,574.26,43,859,0,10,159,1155,32,158,300,379500
20221105,4,17,1599,805.02,67,1231,0,9,162,1517,77,195,70,111930
20220915,2,18,1330,702.92,56,997,0,11,96,1212,52,96,30,39900
20221210,4,8,577,296.06,18,937,0,8,156,565,7,130,70,40390
20221021,7,19,1062,504.86,28,2756,0,8,123,971,34,149,20,21240
20220711,7,20,1783,991.42,48,2661,0,9,109,1776,34,80,20,35660
20221004,6,21,1484,671.27,39,962,0,9,169,1447,34,193,300,445200
20220610,2,14,1705,693.46,79,1674,0,7,56,1736,75,197,30,51150
20221110,4,22,1995,901.8,57,2136,0,8,131,2027,65,136,70,139650
20220122,2,23,1483,773.69,28,1224,0,8,176,1350,14,120,30,44490
20220910,4,24,1097,527.43,33,2890,0,9,66,1100,38,147,70,76790
20220824,3,8,1341,715.83,14,897,1,6,174,1275,3,125,60,80460
